# packages in environment at /Users/umer/opt/anaconda3/envs/CLp:
#
# Name                    Version                   Build  Channel
aiohttp                   3.8.4            py39ha30fb19_0    conda-forge
aiosignal                 1.3.1              pyhd8ed1ab_0    conda-forge
appnope                   0.1.3              pyhd8ed1ab_0    conda-forge
arrow-cpp                 11.0.0          h694c41f_13_cpu    conda-forge
asttokens                 2.2.1              pyhd8ed1ab_0    conda-forge
async-timeout             4.0.2              pyhd8ed1ab_0    conda-forge
attrs                     22.2.0             pyh71513ae_0    conda-forge
aws-c-auth                0.6.26               h3d80c0d_0    conda-forge
aws-c-cal                 0.5.21               hf54dd2f_2    conda-forge
aws-c-common              0.8.14               hb7f2c08_0    conda-forge
aws-c-compression         0.2.16               h99c63db_5    conda-forge
aws-c-event-stream        0.2.20               h0ae4c0f_4    conda-forge
aws-c-http                0.7.5                hcdd7835_5    conda-forge
aws-c-io                  0.13.19              had634fe_1    conda-forge
aws-c-mqtt                0.8.6               h7399336_11    conda-forge
aws-c-s3                  0.2.7                h12b47ae_0    conda-forge
aws-c-sdkutils            0.1.8                h99c63db_0    conda-forge
aws-checksums             0.1.14               h99c63db_5    conda-forge
aws-crt-cpp               0.19.8              h79318f4_11    conda-forge
aws-sdk-cpp               1.10.57              h0d082ec_8    conda-forge
backcall                  0.2.0              pyh9f0ad1d_0    conda-forge
backports                 1.0                pyhd8ed1ab_3    conda-forge
backports.functools_lru_cache 1.6.4              pyhd8ed1ab_0    conda-forge
bottleneck                1.3.4            py39h67323c0_0    anaconda
brotli                    1.0.9                hb7f2c08_8    conda-forge
brotli-bin                1.0.9                hb7f2c08_8    conda-forge
brotlipy                  0.7.0           py39ha30fb19_1005    conda-forge
bzip2                     1.0.8                h0d85af4_4    conda-forge
c-ares                    1.18.1               h0d85af4_0    conda-forge
ca-certificates           2022.12.7            h033912b_0    conda-forge
catalogue                 2.0.8            py39h6e9494a_1    conda-forge
certifi                   2022.12.7          pyhd8ed1ab_0    conda-forge
cffi                      1.15.1           py39h131948b_3    conda-forge
charset-normalizer        2.1.1              pyhd8ed1ab_0    conda-forge
click                     8.0.4            py39hecd8cb5_0    anaconda
colorama                  0.4.6              pyhd8ed1ab_0    conda-forge
commonmark                0.9.1                      py_0    conda-forge
confection                0.0.4            py39h2a79d86_1    conda-forge
contourpy                 1.0.7            py39h92daf61_0    conda-forge
cryptography              39.0.2           py39hbeae22c_0    conda-forge
cycler                    0.11.0             pyhd8ed1ab_0    conda-forge
cymem                     2.0.7            py39h7a8716b_1    conda-forge
cython                    0.29.28          py39he9d5cce_0    anaconda
cython-blis               0.7.9            py39h7cc1f47_1    conda-forge
dataclasses               0.8                pyhc8e2a94_3    conda-forge
datasets                  2.10.1             pyhd8ed1ab_0    conda-forge
debugpy                   1.6.6            py39h7a8716b_0    conda-forge
decorator                 5.1.1              pyhd8ed1ab_0    conda-forge
dill                      0.3.6              pyhd8ed1ab_1    conda-forge
en-core-web-md            3.5.0                    pypi_0    pypi
en-core-web-trf           3.5.0                    pypi_0    pypi
executing                 1.2.0              pyhd8ed1ab_0    conda-forge
filelock                  3.10.1                   pypi_0    pypi
fonttools                 4.39.2           py39ha30fb19_0    conda-forge
freetype                  2.12.1               h3f81eb7_1    conda-forge
frozenlist                1.3.3            py39ha30fb19_0    conda-forge
fsspec                    2023.3.0           pyhd8ed1ab_1    conda-forge
fst-pso                   1.8.1              pyhd8ed1ab_0    conda-forge
funcy                     1.18               pyhd8ed1ab_0    conda-forge
future                    0.18.3             pyhd8ed1ab_0    conda-forge
fuzzytm                   2.0.5              pyhd8ed1ab_0    conda-forge
gensim                    4.1.2            py39he9d5cce_0    anaconda
gflags                    2.2.2             hb1e8313_1004    conda-forge
glog                      0.6.0                h8ac2a54_0    conda-forge
huggingface_hub           0.13.3             pyhd8ed1ab_0    conda-forge
idna                      3.4                pyhd8ed1ab_0    conda-forge
importlib-metadata        6.1.0              pyha770c72_0    conda-forge
